maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
607,8,5,5,5,60228,0,96,1,1199,26,8,10,1,0,18990,5,0
23,12,5,5,5,36347,1,110,0,1968,4,7,12,1,0,32890,2,-1
641,4,5,4,2,3690,1,55,1,1571,16,5,9,1,1,99890,-42,0
251,18,4,3,4,10,1,96,1,1995,4,7,12,1,0,39750,0,0
279,13,5,5,5,69971,1,85,0,1598,4,7,1,4,0,17900,4,-1
560,18,5,5,4,120,1,120,0,1950,4,7,12,4,0,58280,2,-1
617,18,5,7,5,49981,1,103,0,1364,16,3,1,5,3,19690,6,0
91,12,5,5,4,283457,0,135,1,1995,4,4,1,1,3,11950,11,0
768,13,5,5,5,38200,1,147,0,1968,3,8,12,4,0,32500,2,-1
117,8,5,5,4,20500,0,92,0,1499,10,5,1,1,3,35900,2,-1
794,8,3,5,5,10,0,110,0,1498,20,7,7,1,0,30880,1,0
444,4,5,4,2,151500,0,135,0,1796,16,3,10,1,3,10250,15,0
611,8,5,5,5,16857,1,96,1,1199,16,7,1,1,0,22880,2,-1
401,5,5,3,2,384800,0,205,1,6374,3,5,12,4,0,24966,23,0
416,4,5,2,3,87700,1,410,0,3982,20,5,2,1,1,125900,3,0
528,12,5,5,4,31720,1,243,0,2925,4,7,1,1,1,114845,2,0
226,10,5,3,5,39266,1,96,1,1996,4,8,12,1,0,31490,2,1
206,10,4,3,4,10,0,106,1,1997,4,5,12,1,0,34950,1,0
426,13,5,5,4,95674,1,125,0,2143,4,5,12,1,1,26380,5,0
179,8,1,5,5,6500,1,110,0,1968,4,7,7,4,5,39399,1,-2
497,8,5,5,5,27262,1,155,0,1991,10,7,1,1,2,47845,3,0
798,18,5,7,5,266338,1,77,1,1896,4,3,1,1,0,5980,14,-1
770,2,5,5,5,5485,1,70,1,999,21,7,12,1,0,21997,1,-2
439,13,5,5,5,39400,1,115,0,1595,20,5,1,1,1,24799,8,0
598,12,5,5,5,46000,1,110,0,1399,21,5,1,1,3,16690,5,0
774,8,3,5,5,10,0,81,0,999,20,7,2,1,0,28440,1,0
97,13,5,5,5,106607,0,235,0,2993,4,5,12,1,1,38980,4,-1
242,13,5,5,5,41027,0,110,0,1997,4,5,12,4,0,20900,5,0
270,18,5,8,3,198400,1,100,1,2497,3,5,1,4,0,18490,5,0
349,8,2,5,5,10469,1,192,0,1477,28,7,1,1,0,35490,1,-2
207,2,4,4,3,15,1,87,0,1,10,5,1,4,1,29450,1,-2
411,12,5,5,5,5231,1,120,0,1332,16,8,9,1,2,32785,1,0
87,12,5,5,5,66869,1,140,1,1995,4,5,1,1,0,21999,6,-1
396,8,5,5,5,127335,1,129,0,2191,4,5,2,1,1,16990,8,0
646,3,2,4,2,39041,1,331,0,2981,16,5,1,1,1,171900,1,0
236,13,5,5,5,125000,1,88,0,1499,4,5,7,1,0,10885,8,0
72,18,5,5,4,129000,1,140,0,1995,3,5,10,1,1,20997,6,0
88,4,5,4,2,31000,0,210,0,2993,4,7,2,1,5,54970,1,-2
121,8,5,5,5,10770,1,353,0,2993,20,8,1,1,1,63440,3,0
697,8,5,7,5,81900,1,110,1,1395,16,5,7,1,5,26680,6,0
698,13,5,5,5,103000,1,110,0,1968,3,4,7,1,0,14990,8,-1
779,18,5,4,4,233590,1,96,1,2459,3,3,7,4,0,20990,15,0
23,13,5,5,5,48000,0,110,0,1968,4,7,2,1,0,31970,2,0
296,12,5,5,4,34500,1,172,0,3980,11,2,9,0,1,27890,30,0
64,9,5,5,4,99900,1,105,0,1995,16,4,1,1,0,12900,12,0
702,13,4,5,5,35,1,140,0,2000,21,5,7,1,5,47890,0,0
768,13,5,5,5,46000,0,140,0,1968,4,7,1,1,1,32470,3,0
503,8,1,5,5,17500,1,200,0,1951,4,7,7,1,2,87800,1,-2
791,8,4,7,5,5,1,150,0,1968,4,7,1,1,1,93970,1,-2
83,12,5,5,4,65621,1,215,0,1998,10,6,2,3,1,33499,4,-1
752,13,5,5,4,93550,0,85,1,1598,4,8,10,1,0,14965,4,-1
770,2,3,5,5,44225,0,70,1,999,20,5,12,4,0,25385,1,0
818,2,5,4,4,26530,1,60,0,1968,10,5,1,1,0,15400,2,-1
819,3,5,2,2,125778,1,52,0,599,11,2,1,1,3,9450,21,0
594,10,4,3,2,10,0,103,1,2179,4,7,12,1,0,35850,1,0
401,19,3,2,4,100,1,125,1,1950,4,7,12,1,0,56942,0,-2
330,8,3,5,5,10,1,147,0,1498,10,7,7,1,1,73984,1,0
496,8,5,5,5,77457,1,150,0,2143,4,5,7,1,1,37985,6,0
